+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|       Launch Clock       |      Capture Clock       |                                                 Pin                                                      |
|               eth_rx_clk |                clk_nobuf |                                                                   eth0.e1/m100.u0/ethc0/r_reg[oplen][5]/D|
|               eth_rx_clk |                clk_nobuf |                                                                 eth0.e1/m100.u0/ethc0/r_reg[rxstart][0]/D|
|               eth_rx_clk |                clk_nobuf |                                                                  eth0.e1/m100.u0/ethc0/r_reg[udpsrc][6]/D|
|               eth_rx_clk |                clk_nobuf |                                                                   eth0.e1/m100.u0/ethc0/r_reg[oplen][8]/D|
|               eth_rx_clk |                clk_nobuf |                                                                   eth0.e1/m100.u0/ethc0/r_reg[write][8]/D|
|               eth_rx_clk |                clk_nobuf |                                                             eth0.e1/m100.u0/ethc0/r_reg[rxbytecount][0]/D|
|               eth_rx_clk |                clk_nobuf |                                                                  eth0.e1/m100.u0/ethc0/r_reg[rxdone][0]/D|
|               eth_rx_clk |                clk_nobuf |                                                                 eth0.e1/m100.u0/ethc0/r_reg[udpsrc][13]/D|
|               eth_rx_clk |                clk_nobuf |                                                                  eth0.e1/m100.u0/ethc0/r_reg[udpsrc][7]/D|
|               eth_rx_clk |                clk_nobuf |                                                                  eth0.e1/m100.u0/ethc0/r_reg[udpsrc][1]/D|
|               eth_rx_clk |                clk_nobuf |                                                             eth0.e1/m100.u0/ethc0/r_reg[rxbytecount][9]/D|
|                clk_nobuf |               eth_tx_clk |                                                eth0.e1/m100.u0/ethc0/tx_rmii0.tx0/gmiimode0.r_reg[read]/D|
|               eth_rx_clk |                clk_nobuf |                                                                eth0.e1/m100.u0/ethc0/r_reg[rxstatus][1]/D|
|               eth_rx_clk |                clk_nobuf |                                                                  eth0.e1/m100.u0/ethc0/r_reg[udpsrc][5]/D|
|               eth_rx_clk |                clk_nobuf |                                                                eth0.e1/m100.u0/ethc0/r_reg[rxstatus][2]/D|
|               eth_rx_clk |                clk_nobuf |                                                                  eth0.e1/m100.u0/ethc0/r_reg[udpsrc][2]/D|
|               eth_rx_clk |                clk_nobuf |                                                                eth0.e1/m100.u0/ethc0/r_reg[rxstatus][3]/D|
|                clk_nobuf |               eth_tx_clk |                        eth0.e1/m100.u0/ethc0/tx_rmii0.tx0/FSM_sequential_gmiimode0.r_reg[main_state][1]/D|
|               eth_rx_clk |                clk_nobuf |                                                                   eth0.e1/m100.u0/ethc0/r_reg[oplen][3]/D|
|               eth_rx_clk |                clk_nobuf |                                                             eth0.e1/m100.u0/ethc0/r_reg[rxbytecount][5]/D|
|               eth_rx_clk |                clk_nobuf |                                                             eth0.e1/m100.u0/ethc0/r_reg[rxbytecount][1]/D|
|               eth_rx_clk |                clk_nobuf |                                                                   eth0.e1/m100.u0/ethc0/r_reg[gotframe]/D|
|                clk_nobuf |               eth_tx_clk |                        eth0.e1/m100.u0/ethc0/tx_rmii0.tx0/FSM_sequential_gmiimode0.r_reg[main_state][3]/D|
|               eth_tx_clk |                clk_nobuf |                                                                  eth0.e1/m100.u0/ethc0/r_reg[txread][0]/D|
|               eth_tx_clk |                clk_nobuf |                                                                  eth0.e1/m100.u0/ethc0/r_reg[txdone][0]/D|
|               eth_tx_clk |                clk_nobuf |                                                               eth0.e1/m100.u0/ethc0/r_reg[txrestart][0]/D|
|               eth_tx_clk |                clk_nobuf |                                                                eth0.e1/m100.u0/ethc0/r_reg[txstatus][1]/D|
|               eth_rx_clk |                clk_nobuf |                                                                eth0.e1/m100.u0/ethc0/r_reg[rxstatus][0]/D|
|               eth_tx_clk |                clk_nobuf |                                                            eth0.e1/m100.u0/ethc0/r_reg[tmsto][data][15]/D|
|               eth_rx_clk |                clk_nobuf |                                                                        eth0.e1/m100.u0/ethc0/r_reg[nak]/D|
|               eth_tx_clk |                clk_nobuf |                                                            eth0.e1/m100.u0/ethc0/r_reg[tmsto][data][14]/D|
|                clk_nobuf |               eth_tx_clk |                                           eth0.e1/m100.u0/ethc0/tx_rmii0.tx0/gmiimode0.r_reg[status][0]/D|
|               eth_tx_clk |                clk_nobuf |                                                                eth0.e1/m100.u0/ethc0/r_reg[txstatus][0]/D|
|               eth_rx_clk |                clk_nobuf |                                                                 eth0.e1/m100.u0/ethc0/r_reg[edclactive]/D|
|                clk_nobuf |               eth_tx_clk |                                            eth0.e1/m100.u0/ethc0/tx_rmii0.tx0/gmiimode0.r_reg[data][15]/D|
|                clk_nobuf |               eth_tx_clk |                        eth0.e1/m100.u0/ethc0/tx_rmii0.tx0/FSM_sequential_gmiimode0.r_reg[main_state][0]/D|
|               eth_rx_clk |                clk_nobuf |                                              eth0.e1/m100.u0/nft.rx_fifo0/inf.x0/rfd_reg_0_7_24_29/RAMA/I|
